Mouse,UID
10E,BXD34_CHOW_bas_1
2C,BXD34_CHOW_bas_2
6H,BXD34_CHOW_bas_3
7G,BXD34_CHOW_bas_4
6J,BXD34_CHOW_bas_5
10F,BXD34_CHOW_ins_1
2D,BXD34_CHOW_ins_2
6I,BXD34_CHOW_ins_3
7F,BXD34_CHOW_ins_4
7H,BXD34_CHOW_ins_5
10C,BXD34_HFD_bas_1
2F,BXD34_HFD_bas_2
6E,BXD34_HFD_bas_3
6G,BXD34_HFD_bas_4
2A,BXD34_HFD_bas_5
10B,BXD34_HFD_ins_1
10D,BXD34_HFD_ins_2
2B,BXD34_HFD_ins_3
2E,BXD34_HFD_ins_4
2G,BXD34_HFD_ins_5
6F,BXD34_HFD_ins_6
3F,BXH9_CHOW_bas_1
3H,BXH9_CHOW_bas_2
4A,BXH9_CHOW_bas_3
7B,BXH9_CHOW_bas_4
3G,BXH9_CHOW_ins_1
4B,BXH9_CHOW_ins_2
7A,BXH9_CHOW_ins_3
7C,BXH9_CHOW_ins_4
3I,BXH9_HFD_bas_1
4C,BXH9_HFD_bas_2
7D,BXH9_HFD_bas_3
9C,BXH9_HFD_bas_4
3J,BXH9_HFD_ins_1
4D,BXH9_HFD_ins_2
7E,BXH9_HFD_ins_3
9A,BXH9_HFD_ins_4
9B,BXH9_HFD_ins_5
2J,C57Bl6J_CHOW_bas_1
3D,C57Bl6J_CHOW_bas_2
5F,C57Bl6J_CHOW_bas_3
6C,C57Bl6J_CHOW_bas_4
3A,C57Bl6J_CHOW_ins_1
3E,C57Bl6J_CHOW_ins_2
6B,C57Bl6J_CHOW_ins_3
6D,C57Bl6J_CHOW_ins_4
2H,C57Bl6J_HFD_bas_1
3B,C57Bl6J_HFD_bas_2
5D,C57Bl6J_HFD_bas_3
5H,C57Bl6J_HFD_bas_4
5J,C57Bl6J_HFD_bas_5
2I,C57Bl6J_HFD_ins_1
3C,C57Bl6J_HFD_ins_2
5E,C57Bl6J_HFD_ins_3
5I,C57Bl6J_HFD_ins_4
6A,C57Bl6J_HFD_ins_5
1A,CAST_CHOW_bas_1
1E,CAST_CHOW_bas_2
1I,CAST_CHOW_bas_3
5B,CAST_CHOW_bas_4
1C,CAST_CHOW_ins_1
1G,CAST_CHOW_ins_2
1J,CAST_CHOW_ins_3
5A,CAST_CHOW_ins_4
5C,CAST_CHOW_ins_5
1B,CAST_HFD_bas_1
1F,CAST_HFD_bas_2
4E,CAST_HFD_bas_3
4G,CAST_HFD_bas_4
1D,CAST_HFD_ins_1
1H,CAST_HFD_ins_2
4F,CAST_HFD_ins_3
4H,CAST_HFD_ins_4
4J,CAST_HFD_ins_5
8A,NOD_CHOW_bas_1
8E,NOD_CHOW_bas_2
8I,NOD_CHOW_bas_3
9F,NOD_CHOW_bas_4
9J,NOD_CHOW_bas_5
10A,NOD_CHOW_ins_1
8B,NOD_CHOW_ins_2
8F,NOD_CHOW_ins_3
8J,NOD_CHOW_ins_4
9G,NOD_CHOW_ins_5
7I,NOD_HFD_bas_1
8C,NOD_HFD_bas_2
8G,NOD_HFD_bas_3
9D,NOD_HFD_bas_4
9H,NOD_HFD_bas_5
7J,NOD_HFD_ins_1
8H,NOD_HFD_ins_2
9E,NOD_HFD_ins_3
9I,NOD_HFD_ins_4
8D,NOD_HFD_ins_5
