Batch,Mouse,Total or flow,Volume counted (uL),Lysate volume (uL),Count Time,CPMA,DPM1
1,1A,total,375,2600,5,187,461
1,1D,total,375,2600,5,254,632
1,1E,total,375,2600,5,155,382
1,1H,total,375,2600,5,162,401
1,1I,total,375,2600,5,156,388
1,2B,total,375,2600,5,582,1449
1,2C,total,375,2600,5,285,705
1,2F,total,375,2600,5,253,624
1,2G,total,375,2600,5,558,1402
1,2J,total,375,2600,5,380,948
1,3A,total,375,2600,5,858,2147
1,3D,total,375,2600,5,290,723
1,3E,total,375,2600,5,750,1878
1,3H,total,375,2600,5,288,718
1,3I,total,375,2600,5,226,561
1,4B,total,375,2600,5,420,1043
1,4C,total,375,2600,5,169,418
1,4F,total,375,2600,5,290,726
1,4G,total,375,2600,5,221,550
1,4J,total,375,2600,5,509,1281
1,5A,total,375,2600,5,646,1615
1,5D,total,375,2600,5,328,825
1,5E,total,375,2600,5,715,1825
1,5H,total,375,2600,5,375,949
1,1A,flow,375,2600,5,136,333
1,1D,flow,375,2600,5,113,277
1,1E,flow,375,2600,5,103,251
1,1H,flow,375,2600,5,77,194
1,1I,flow,375,2600,5,116,287
1,2B,flow,375,2600,5,129,315
1,2C,flow,375,2600,5,267,652
1,2F,flow,375,2600,5,192,468
1,2G,flow,375,2600,5,134,325
1,2J,flow,375,2600,5,301,736
1,3A,flow,375,2600,5,164,405
1,3D,flow,375,2600,5,229,558
1,3E,flow,375,2600,5,146,356
1,3H,flow,375,2600,5,204,509
1,3I,flow,375,2600,5,199,487
1,4B,flow,375,2600,5,123,297
1,4C,flow,375,2600,5,155,379
1,4F,flow,375,2600,5,128,314
1,4G,flow,375,2600,5,185,468
1,4J,flow,375,2600,5,110,274
1,5A,flow,375,2600,5,192,478
1,5D,flow,375,2600,5,247,613
1,5E,flow,375,2600,5,172,429
1,5H,flow,375,2600,5,293,720
2,5I,total,375,2600,5,506,1279
2,6B,total,375,2600,5,938,2348
2,6C,total,375,2600,5,543,1464
2,6F,total,375,2600,5,554,1461
2,6G,total,375,2600,5,299,775
2,6J,total,375,2600,5,189,486
2,7A,total,375,2600,5,561,1445
2,7D,total,375,2600,5,216,556
2,7E,total,375,2600,5,313,795
2,7H,total,375,2600,5,642,1642
2,7I,total,375,2600,5,291,745
2,8B,total,375,2600,5,707,1786
2,8C,total,375,2600,5,249,633
2,8F,total,375,2600,5,347,878
2,8G,total,375,2600,5,153,389
2,8J,total,375,2600,5,514,1316
2,9A,total,375,2600,5,359,912
2,9D,total,375,2600,5,201,512
2,9E,total,375,2600,5,362,921
2,9H,total,375,2600,5,242,613
2,9I,total,375,2600,5,332,841
2,10B,total,375,2600,5,764,1952
2,10C,total,375,2600,5,240,611
2,10F,total,375,2600,5,597,1507
2,5I,flow,375,2600,5,143,351
2,6B,flow,375,2600,5,219,530
2,6C,flow,375,2600,5,447,1100
2,6F,flow,375,2600,5,193,478
2,6G,flow,375,2600,5,230,563
2,6J,flow,375,2600,5,164,406
2,7A,flow,375,2600,5,151,372
2,7D,flow,375,2600,5,188,465
2,7E,flow,375,2600,5,143,351
2,7H,flow,375,2600,5,171,423
2,7I,flow,375,2600,5,219,535
2,8B,flow,375,2600,5,132,324
2,8C,flow,375,2600,5,189,472
2,8F,flow,375,2600,5,118,292
2,8G,flow,375,2600,5,119,294
2,8J,flow,375,2600,5,119,292
2,9A,flow,375,2600,5,149,363
2,9D,flow,375,2600,5,171,418
2,9E,flow,375,2600,5,101,254
2,9H,flow,375,2600,5,170,423
2,9I,flow,375,2600,5,92,227
2,10B,flow,375,2600,5,138,338
2,10C,flow,375,2600,5,177,432
2,10F,flow,375,2600,5,160,388
3,1B,total,375,2600,5,152,382
3,1C,total,375,2600,5,341,866
3,1F,total,375,2600,5,199,517
3,1G,total,375,2600,5,275,704
3,1J,total,375,2600,5,295,755
3,2A,total,375,2600,5,163,416
3,2D,total,375,2600,5,568,1454
3,2E,total,375,2600,5,510,1306
3,2H,total,375,2600,5,410,1044
3,2I,total,375,8060,5,188,464
3,2I,total,375,8060,5,184,452
3,2I,total,375,8060,5,180,443
3,3B,total,375,2600,5,294,748
3,3C,total,375,2600,5,585,1472
3,3F,total,375,2600,5,243,608
3,3G,total,375,2600,5,536,1347
3,3J,total,375,2600,5,354,893
3,4A,total,375,2600,5,247,628
3,4D,total,375,2600,5,423,1070
3,4E,total,375,2600,5,278,710
3,4H,total,375,2600,5,213,533
3,5B,total,375,2600,5,325,830
3,5C,total,375,2600,5,548,1394
3,5F,total,375,2600,5,549,1380
3,1B,flow,375,2600,5,125,310
3,1C,flow,375,2600,5,82,202
3,1F,flow,375,2600,5,171,418
3,1G,flow,375,2600,5,103,252
3,1J,flow,375,2600,5,82,204
3,2A,flow,375,2600,5,151,369
3,2D,flow,375,2600,5,150,369
3,2E,flow,375,2600,5,168,409
3,2H,flow,375,2600,5,312,756
3,2I,flow,375,8060,5,51,122
3,2I,flow,375,8060,5,51,122
3,2I,flow,375,8060,5,49,114
3,3B,flow,375,2600,5,214,530
3,3C,flow,375,2600,5,153,372
3,3F,flow,375,2600,5,189,455
3,3G,flow,375,2600,5,146,354
3,3J,flow,375,2600,5,129,310
3,4A,flow,375,2600,5,222,535
3,4D,flow,375,2600,5,130,314
3,4E,flow,375,2600,5,234,579
3,4H,flow,375,2600,5,140,344
3,5B,flow,375,2600,5,254,606
3,5C,flow,375,2600,5,145,348
3,5F,flow,375,2600,5,365,863
4,5J,total,375,2600,5,278,705
4,6A,total,375,2600,5,692,1774
4,6D,total,375,2600,5,902,2257
4,6E,total,375,2600,5,305,782
4,6H,total,375,2600,5,375,954
4,6I,total,375,2600,5,814,2066
4,7B,total,375,2600,5,213,540
4,7C,total,375,2600,5,533,1350
4,7F,total,375,2600,5,1192,3024
4,7G,total,375,2600,5,314,801
4,7J,total,375,2600,5,308,781
4,8A,total,375,2600,5,414,1045
4,8D,total,375,2600,5,355,891
4,8E,total,375,2600,5,214,543
4,8H,total,375,2600,5,310,792
4,8I,total,375,2600,5,228,577
4,9B,total,375,2600,5,318,801
4,9C,total,375,2600,5,243,614
4,9F,total,375,2600,5,272,697
4,9G,total,375,2600,5,299,755
4,9J,total,375,2600,5,315,789
4,10A,total,375,2600,5,252,639
4,10D,total,375,2600,5,673,1699
4,10E,total,375,2600,5,324,822
4,5J,flow,375,2600,5,226,555
4,6A,flow,375,2600,5,146,353
4,6D,flow,375,2600,5,160,393
4,6E,flow,375,2600,5,237,591
4,6H,flow,375,2600,5,308,762
4,6I,flow,375,2600,5,168,412
4,7B,flow,375,2600,5,170,419
4,7C,flow,375,2600,5,114,282
4,7F,flow,375,2600,5,218,541
4,7G,flow,375,2600,5,234,578
4,7J,flow,375,2600,5,95,231
4,8A,flow,375,2600,5,346,866
4,8D,flow,375,2600,5,190,469
4,8E,flow,375,2600,5,199,492
4,8H,flow,375,2600,5,110,273
4,8I,flow,375,2600,5,178,437
4,9B,flow,375,2600,5,158,397
4,9C,flow,375,2600,5,181,441
4,9F,flow,375,2600,5,211,522
4,9G,flow,375,2600,5,116,287
4,9J,flow,375,2600,5,241,590
4,10A,flow,375,2600,5,119,299
4,10D,flow,375,2600,5,152,378
4,10E,flow,375,2600,5,261,659
